# B050 — 上纬新材CEO田华首谈具身智能 (科技数码/机器人)
# Persons skipped: 田华21x

0001	上纬新材	shangweixincai	linear
0002	首谈	shoutan	linear
0003	具身智能	jushenzhineng	linear
0004	要造	yaozao	linear
0005	所有人	suoyouren	linear
0006	买得起	maideqi	linear
0007	的	de	linear
0008	个人	geren	linear
0009	机器人	jiqiren	linear
0010	过去	guoqu	linear
0011	的	de	linear
0012	两年	liangnian	linear
0013	里	li	linear
0014	人形机器人	renxingjiqiren	linear
0015	规模化	guimohua	linear
0016	落地	luodi	linear
0017	几乎	jihu	linear
0018	成为	chengwei	linear
0019	了	le	linear
0020	科技	keji	linear
0021	与	yu	linear
0022	投资界	touzijie	linear
0023	共同	gongtong	linear
0024	的	de	linear
0025	焦虑	jiaolv	linear
0026	尽管	jinguan	linear
0027	产业	chanye	linear
0028	产值	chanzhi	linear
0029	被	bei	linear
0030	普遍	pubian	linear
0031	寄予	jiyu	linear
0032	万亿级	wanyiji	linear
0033	的	de	linear
0034	厚望	houwang	linear
0035	但	dan	linear
0036	在	zai	linear
0037	成本	chengben	linear
0038	供应链	gongyinglian	linear
0039	质量	zhiliang	linear
0040	以及	yiji	linear
0041	最	zui	linear
0042	核心	hexin	linear
0043	的	de	linear
0044	用户	yonghu	linear
0045	场景	changjing	linear
0046	定义	dingyi	linear
0047	面前	mianqian	linear
0048	行业	hangye	linear
0049	依然	yiran	linear
0050	还	hai	linear
0051	在	zai	linear
0052	探索	tansuo	linear
0053	年	nian	linear
0054	月	yue	linear
0055	上纬新材	shangweixincai	linear
0056	控制权	kongzhiquan	linear
0057	变更	biangeng	linear
0058	后	hou	linear
0059	这家	zhejia	linear
0060	原本	yuanben	linear
0061	以	yi	linear
0062	工业	gongye	linear
0063	材料	cailiao	linear
0064	为主	weizhu	linear
0065	的	de	linear
0066	企业	qiye	linear
0067	确定	queding	linear
0068	新材料	xincailiao	linear
0069	具身智能	jushenzhineng	linear
0070	的	de	linear
0071	双轮	shuanglun	linear
0072	发展	fazhan	linear
0073	战略	zhanlue	linear
0074	成为	chengwei	linear
0075	股	gu	linear
0076	具身智能	jushenzhineng	linear
0077	第一股	diyigu	linear
0078	这一	zheyi	linear
0079	变更	biangeng	linear
0080	背后	beihou	linear
0081	的	de	linear
0082	深层	shenceng	linear
0083	逻辑	luoji	linear
0084	是	shi	linear
0085	收购方	shougoufang	linear
0086	在	zai	linear
0087	消费级	xiaofeiji	linear
0088	机器人	jiqiren	linear
0089	赛道	saidao	linear
0090	的	de	linear
0091	野心	yexin	linear
0092	年	nian	linear
0093	的	de	linear
0094	最后	zuihou	linear
0095	一天	yitian	linear
0096	上纬新材	shangweixincai	linear
0097	宣布	xuanbu	linear
0098	将	jiang	linear
0099	以	yi	linear
0100	上纬启元	shangweiqiyuan	linear
0101	品牌	pinpai	linear
0102	进军	jinjun	linear
0103	个人	geren	linear
0104	机器人	jiqiren	linear
0105	赛道	saidao	linear
0106	同时	tongshi	linear
0107	推出	tuichu	linear
0108	全球	quanqiu	linear
0109	首个	shouge	linear
0110	个人	geren	linear
0111	机器人	jiqiren	linear
0112	启元	qiyuan	linear
0113	在	zai	linear
0114	官方	guanfang	linear
0115	发布	fabu	linear
0116	的	de	linear
0117	宣传	xuanchuan	linear
0118	视频	shipin	linear
0119	里	li	linear
0120	启元	qiyuan	linear
0121	身长	shenchang	linear
0122	公分	gongfen	linear
0123	能跑	nengpao	linear
0124	能跳	nengtiao	linear
0125	可以	keyi	linear
0126	被	bei	linear
0127	折叠	zhedie	linear
0128	装进	zhuangjin	linear
0129	书包	shubao	linear
0130	还是	haishi	linear
0131	全球	quanqiu	linear
0132	最小	zuixiao	linear
0133	的	de	linear
0134	全身	quanshen	linear
0135	力控	likong	linear
0136	人形机器人	renxingjiqiren	linear
0137	此外	ciwai	linear
0138	支持	zhichi	linear
0139	开放	kaifang	linear
0140	的	de	linear
0141	与	yu	linear
0142	接口	jiekou	linear
0143	采用	caiyong	linear
0144	模块化	mokuaihua	linear
0145	结构	jiegou	linear
0146	设计	sheji	linear
0147	支持	zhichi	linear
0148	打印	dayin	linear
0149	外壳	waike	linear
0150	和	he	linear
0151	外观	waiguan	linear
0152	定制	dingzhi	linear
0153	这	zhe	linear
0154	意味着	yiweizhe	linear
0155	它	ta	linear
0156	也是	yeshi	linear
0157	一个	yige	linear
0158	高自由度	gaoziyoudu	linear
0159	的	de	linear
0160	开发	kaifa	linear
0161	改造	gaizao	linear
0162	平台	pingtai	linear
0163	近期	jinqi	linear
0164	上纬新材	shangweixincai	linear
0165	首次	shouci	linear
0166	露面	loumian	linear
0167	接受	jieshou	linear
0168	媒体	meiti	linear
0169	采访	caifang	linear
0170	曾	ceng	linear
0171	担任	danren	linear
0172	华为	huawei	linear
0173	东北欧	dongbeiou	linear
0174	地区	diqu	linear
0175	无线	wuxian	linear
0176	解决方案	jiejuefangan	linear
0177	部长	buzhang	linear
0178	东北欧	dongbeiou	linear
0179	企业业务	qiyeyewu	linear
0180	副总裁	fuzongcai	linear
0181	计算	jisuan	linear
0182	产品线	chanpinxian	linear
0183	副总裁	fuzongcai	linear
0184	兼	jian	linear
0185	首席	shouxi	linear
0186	商业官	shangyeguan	linear
0187	在	zai	linear
0188	智元	zhiyuan	linear
0189	曾任	cengren	linear
0190	生态	shengtai	linear
0191	发展	fazhan	linear
0192	总经理	zongjingli	linear
0193	首席	shouxi	linear
0194	供应官	gongyingguan	linear
0195	经历	jingli	linear
0196	了	le	linear
0197	多年	duonian	linear
0198	的	de	linear
0199	供应链	gongyinglian	linear
0200	管理	guanli	linear
0201	认为	renwei	linear
0202	制造业	zhizaoye	linear
0203	的	de	linear
0204	产业	chanye	linear
0205	周期	zhouqi	linear
0206	往往	wangwang	linear
0207	以	yi	linear
0208	数十年	shushinian	linear
0209	计	ji	linear
0210	而	er	linear
0211	机器人	jiqiren	linear
0212	的	de	linear
0213	上限	shangxian	linear
0214	是	shi	linear
0215	智能	zhineng	linear
0216	底线	dixian	linear
0217	则	ze	linear
0218	是	shi	linear
0219	安全	anquan	linear
0220	能	neng	linear
0221	做出	zuochu	linear
0222	一台	yitai	linear
0223	概念机	gainianji	linear
0224	并	bing	linear
0225	不	bu	linear
0226	稀奇	xiqi	linear
0227	但	dan	linear
0228	能	neng	linear
0229	在	zai	linear
0230	供应链	gongyinglian	linear
0231	依旧	yijiu	linear
0232	充满	chongman	linear
0233	定制化	dingzhihua	linear
0234	的	de	linear
0235	客观	keguan	linear
0236	现实	xianshi	linear
0237	中	zhong	linear
0238	真正	zhenzheng	linear
0239	交付	jiaofu	linear
0240	一万台	yiwantai	linear
0241	质量	zhiliang	linear
0242	一模一样	yimoyiyang	linear
0243	的	de	linear
0244	标准品	biaozhunpin	linear
0245	才	cai	linear
0246	是	shi	linear
0247	消费级	xiaofeiji	linear
0248	机器人	jiqiren	linear
0249	跨越	kuayue	linear
0250	商业化	shangyehua	linear
0251	鸿沟	honggou	linear
0252	的	de	linear
0253	唯一	weiyi	linear
0254	路径	lujing	linear
0255	在	zai	linear
0256	这次	zheci	linear
0257	媒体	meiti	linear
0258	交流	jiaoliu	linear
0259	中	zhong	linear
0260	聊	liao	linear
0261	到	dao	linear
0262	了	le	linear
0263	个人	geren	linear
0264	机器人	jiqiren	linear
0265	的	de	linear
0266	定义	dingyi	linear
0267	发展阶段	fazhanjieduan	linear
0268	商业模式	shangyemoshi	linear
0269	等等	dengdeng	linear
0270	以下	yixia	linear
0271	为	wei	linear
0272	问答	wenda	linear
0273	实录	shilu	linear
0274	略	lue	linear
0275	经	jing	linear
0276	编辑	bianji	linear
0277	个人	geren	linear
