code	word	freq	primary_code	misread_char	prim_syl	wrong_syl
zhendi	真的	47067	zhende	的	de	di
neixie	那些	43646	naxie	那	na	nei
dihua	的话	42138	dehua	的	de	di
huanyao	还要	41924	haiyao	还	hai	huan
biedi	别的	40280	biede	的	de	di
wokuai	我会	38654	wohui	会	hui	kuai
suipian	随便	37899	suibian	便	bian	pian
zunchong	尊重	36809	zunzhong	重	zhong	chong
meidi	美的	36637	meide	的	de	di
mocuo	没错	35184	meicuo	没	mei	mo
duiliao	对了	35095	duile	了	le	liao
yuxian	遇见	35071	yujian	见	jian	xian
yidai	一大	34847	yida	大	da	dai
yidaili	意大利	34814	yidali	大	da	dai
tiandu	天都	34794	tiandou	都	dou	du
xinzhao	寻找	34726	xunzhao	寻	xun	xin
kanzhao	看着	34440	kanzhe	着	zhe	zhao
kanzhuo	看着	34440	kanzhe	着	zhe	zhuo
mute	模特	34216	mote	模	mo	mu
suizhao	随着	34078	suizhe	着	zhe	zhao
suizhuo	随着	34078	suizhe	着	zhe	zhuo
deichu	得出	34036	dechu	得	de	dei
mofa	没法	33907	meifa	没	mei	mo
gede	各地	33862	gedi	地	di	de
zhaoming	著名	33658	zhuming	著	zhu	zhao
zheming	著名	33658	zhuming	著	zhu	zhe
zhuoming	著名	33658	zhuming	著	zhu	zhuo
yanchangkuai	演唱会	33613	yanchanghui	会	hui	kuai
jiliao	极了	33555	jile	了	le	liao
zuidai	最大	33403	zuida	大	da	dai
congmo	从没	33226	congmei	没	mei	mo
hendai	很大	33186	henda	大	da	dai
yimo	一万	33163	yiwan	万	wan	mo
buzhao	不着	32851	buzhe	着	zhe	zhao
buzhuo	不着	32851	buzhe	着	zhe	zhuo
zongkuai	总会	32764	zonghui	会	hui	kuai
baliao	罢了	32721	bale	了	le	liao
liuji	留给	32629	liugei	给	gei	ji
dingkuai	定会	32575	dinghui	会	hui	kuai
mokan	没看	32564	meikan	没	mei	mo
zuichong	最重	32138	zuizhong	重	zhong	chong
deiyou	得有	31924	deyou	得	de	dei
biandei	变得	31834	biande	得	de	dei
deiyi	得以	31620	deyi	得	de	dei
meixian	没见	31585	meijian	见	jian	xian
mojian	没见	31585	meijian	没	mei	mo
moxian	没见	31585	meijian	没	mei	mo
taidai	太大	31453	taida	大	da	dai
moxiang	没想	31403	meixiang	没	mei	mo
kandei	看得	31253	kande	得	de	dei
meiliao	没了	31107	meile	了	le	liao
mole	没了	31107	meile	没	mei	mo
moliao	没了	31107	meile	没	mei	mo
tiandai	天大	30763	tianda	大	da	dai
mengxian	梦见	30742	mengjian	见	jian	xian
xiaoxiaodi	小小的	30660	xiaoxiaode	的	de	di
daili	大利	30581	dali	大	da	dai
moban	没办	30431	meiban	没	mei	mo
huanyi	还以	30416	haiyi	还	hai	huan
shuibuzhao	睡不着	30390	shuibuzhe	着	zhe	zhao
shuibuzhuo	睡不着	30390	shuibuzhe	着	zhe	zhuo
changxian	常见	30348	changjian	见	jian	xian
wankuai	晚会	30334	wanhui	会	hui	kuai
henchong	很重	30314	henzhong	重	zhong	chong
dashe	打折	30268	dazhe	折	zhe	she
deifen	得分	30053	defen	得	de	dei
moxiangdao	没想到	30037	meixiangdao	没	mei	mo
jiaokuai	教会	30013	jiaohui	会	hui	kuai
dailou	大楼	29990	dalou	大	da	dai
conglaimo	从来没	29876	conglaimei	没	mei	mo
moqu	没去	29844	meiqu	没	mei	mo
kuaiqu	会去	29821	huiqu	会	hui	kuai
bandi	般的	29819	bande	的	de	di
beizhao	背着	29804	beizhe	着	zhe	zhao
beizhuo	背着	29804	beizhe	着	zhe	zhuo
jiadai	加大	29774	jiada	大	da	dai
shukuo	舒适	29706	shushi	适	shi	kuo
pengyoujuan	朋友圈	29690	pengyouquan	圈	quan	juan
moqian	没钱	29634	meiqian	没	mei	mo
sheizhi	谁知	29625	shuizhi	谁	shui	shei
moguan	没关	29533	meiguan	没	mei	mo
fabukuai	发布会	29515	fabuhui	会	hui	kuai
changshijian	长时间	29306	zhangshijian	长	zhang	chang
beidai	北大	29237	beida	大	da	dai
meidei	没得	29193	meide	得	de	dei
mode	没得	29193	meide	没	mei	mo
modei	没得	29193	meide	没	mei	mo
deibudao	得不到	29083	debudao	得	de	dei
jiuhangle	就行了	29074	jiuxingle	行	xing	hang
jiuhangliao	就行了	29074	jiuxingle	行	xing	hang
jiuxingliao	就行了	29074	jiuxingle	了	le	liao
kuaizhu	会主	29050	huizhu	会	hui	kuai
chenyang	沈阳	29018	shenyang	沈	shen	chen
deilai	得来	28983	delai	得	de	dei
chaodai	超大	28932	chaoda	大	da	dai
kuailai	会来	28912	huilai	会	hui	kuai
xinqiu	寻求	28878	xunqiu	寻	xun	xin
duola	堕落	28846	duoluo	落	luo	la
kuaihou	会后	28839	huihou	会	hui	kuai
haihang	还行	28795	haixing	行	xing	hang
huanhang	还行	28795	haixing	还	hai	huan
huanxing	还行	28795	haixing	还	hai	huan
douhang	都行	28784	douxing	行	xing	hang
