chongxin	重新	45000
chongzhi	重置	30000
chongqi	重启	32000
chongzuo	重做	22000
chongshi	重试	25000
chongdu	重读	18000
chongxie	重写	22000
chongmingming	重命名	20000
chongfu	重复	42000
zhangda	长大	38000
zhangbei	长辈	25000
xiaozhang	校长	35000
banzhang	班长	30000
buzhang	部长	32000
chuzhang	处长	22000
yuanzhang	院长	28000
zhanggao	长高	18000
yinhang	银行	48000
hangqing	行情	32000
waihang	外行	22000
tonghang	同行	30000
neihang	内行	20000
hangye	行业	45000
hanghang	行行	12000
shoudu	首都	35000
chengdu	成都	40000
duhui	都会	25000
dushi	都市	35000
guihuan	归还	25000
huankuan	还款	28000
huanyuan	还原	32000
huanji	还击	18000
changhuan	偿还	22000
moluo	没落	20000
yanmo	淹没	22000
chenmo	沉没	22000
gongji	供给	28000
buji	补给	22000
peiji	配给	18000
zhuozhuang	着装	22000
zhuozhong	着重	25000
chenzhuo	沉着	20000
zhaoji	着急	35000
zhaohuo	着火	28000
zhaoliang	着凉	20000
shuizhao	睡着	32000
zhongjiang	中奖	30000
zhongzhao	中招	22000
zhongshu	中暑	22000
zhongdu	中毒	30000
kanhu	看护	25000
kanmen	看门	22000
kanshou	看守	22000
chuli	处理	45000
chufa	处罚	30000
xiangchu	相处	32000
shuijiao	睡觉	42000
wujiao	午觉	18000
xingqu	兴趣	42000
gaoxing	高兴	45000
xingzhi	兴致	22000
ganjing	干净	40000
ganzao	干燥	30000
ganbei	干杯	22000
daoche	倒车	28000
daoying	倒影	18000
daojishi	倒计时	22000
daodai	倒带	15000
xietiao	协调	32000
tiaoliao	调料	22000
tiaohe	调和	22000
muyang	模样	25000
muju	模具	25000
jiaqi	假期	38000
dujia	度假	32000
hanjia	寒假	30000
shujia	暑假	30000
chaodai	朝代	25000
wangchao	王朝	22000
chaoxian	朝鲜	28000
chaoyang	朝阳	25000
jiange	间隔	30000
zhongjian	中间	45000
jianduan	间断	22000
fangjian	房间	45000
yinggai	应该	48000
yingdang	应当	30000
yingyou	应有	25000
yingfu	应付	28000
qiege	切割	25000
qiepian	切片	22000
qiecai	切菜	25000
dangzuo	当作	32000
dangran	当然	48000
dangdai	当代	30000
dangzhong	当中	28000
chuchai	出差	35000
chaishi	差事	18000
sanbu	散步	32000
sanxin	散心	22000
sanman	散漫	20000
tanqin	弹琴	22000
tanzou	弹奏	20000
yinwei	因为	50000
weile	为了	50000
duoshao	多少	45000
bushao	不少	38000
toufa	头发	42000
baifa	白发	22000
