# Pinyin dict Path-1 DISPLAY FILTER — (code, word) pairs that should
# not surface as direct dict-lookup results at the user-typed buffer.
#
# IMPORTANT — this is NOT dict data removal. Entries listed here STAY
# in `pinyin.dict` (so K-best composition, reverse-lookup for initials
# like `wsm → 为什么`, and other dict-as-index uses keep working);
# they're skipped only when the IDF snapshot is built, which means
# the cement-layer composite engine's Path-1 ranking won't surface
# them at the buffer they're listed under.
#
# Use this for "I see this character/word at top of buffer X, I don't
# want it there" — e.g. archaic 异读 (`(shen, 什)` would surface 什 at
# the rare `shen` reading even though daily-use buffer for 什 is
# part of `shenme`/`weishenme` compounds). Deleting from `weights.tsv`
# directly would also kill the reverse-lookup signal — initials `wsm`
# would lose `为什么`. Filtering at IDF stage preserves it.
#
# Format:
#   <code>\t<word>[\t# comment]
#
# Loaded by `idf_from_pinyin_dict.rs` via `include_str!` so cargo
# tracks the file as a build dependency. `make polish-rebuild` is
# the entire edit loop.
#
# Audit trail: git commit message + row-level diff.

# 2026-05-28 user polish-log: typing `liangle` surfaced 两肋 as a
# Path-1 Exact match, gating off Path-5 K-best → 凉了 never
# generated. Source dict (readings.tsv:18800) maps "两肋" to BOTH
# `liangle` and `lianglei` because "肋" has an archaic "lè" reading
# that survives in jieba phrase data; modern mainstream reads "lèi"
# only. Filtering (liangle, 两肋) at IDF stage lets K-best compose
# 凉+了 → 凉了. (lianglei, 两肋) is kept — legitimate per modern
# reading.
liangle	两肋

# 2026-06-03 user polish-log: `jile` led with 极了 (freq 33555 from
# 好极了/棒极了 compound bleed in jieba data). "极了" is a bound suffix,
# not a free word — standalone "jile" shouldn't surface it. Filter
# lets 极乐 lead naturally; (jile, 寄了) lives in weights.tsv directly
# as a polish-added entry. Compounds like 棒极了 (bangjile) keep their
# entry untouched (they're under different codes).
jile	极了

# 2026-06-03 user polish-log: `cipin` surfaced 次贫 at #3.
# "次贫" isn't an established Chinese phrase — jieba sub-word noise
# (次 + 贫). User: "次贫不应该存在".
cipin	次贫

# 2026-06-03 user polish-log: `ciping` surfaced 茨坪 at #1.
# 茨坪 is an obscure place name (a town in Jinggangshan, Jiangxi).
# User: "茨坪是什么？如果不能解释也不应该存在".
ciping	茨坪

# 2026-06-03 80-buffer sweep — pinyin secondary-reading pollution
# at top1 of common single-syllables. Each is a character whose
# mainstream reading is something else; the secondary reading bleeds
# in from compound corpus freq. Compound entries (kuaiji, shenme,
# zhuozhuang, zhaoji, …) live under their own codes and aren't
# affected. Reverse-lookup signal preserved (see file header) — `wsm`
# initials still find 为什么 via `weishenme → 为什么`.
kuai	会
shen	什
zhuo	着
zhao	着

# 2026-06-03 80-buffer sweep — jieba sub-word / homophone-noise
# entries cluttering top-5 of common multi-syllable buffers. All
# pinyin-source with non-trivial corpus freq but no daily-use meaning.
xianzai	先在
xianzai	先宰
xianzai	先载
zhege	这歌
zhege	哲哥
zhege	著各
yige	一格
yige	亿个
yige	毅哥
yige	一歌
yige	翼各
keyi	可意
keyi	课以
tamen	塔门
meiyou	没油
meiyou	魅友
shihou	狮吼
haishi	嗨氏
jintian	津田
kandao	砍到	# 砍刀 (real word) kept
kandao	砍倒
kandao	刊到
wenti	吻替
haiyou	嗨呦
ruguo	入锅
ruguo	辱国
suoyi	缩衣	# 蓑衣 (real word) kept
suoyi	索移
suoyi	所译
ziji	子鸡
