# K635 — 广西壮族自治区南宁市江南区人民法院（2023）桂0105民初449号民事判决书
# persons: 

0001	广西壮族自治区	guangxizhuangzuzizhiqu	linear
0002	南宁市	nanningshi	linear
0003	江南	jiangnan	linear
0004	人民法院	renminfayuan	linear
0005	民初	minchu	linear
0006	民事	minshi	linear
0007	判决书	panjueshu	linear
0008	原告	yuangao	linear
0009	南宁市	nanningshi	linear
0010	霍某	huomou	linear
0011	公司	gongsi	linear
0012	住所地	zhusuodi	linear
0013	南宁市	nanningshi	linear
0014	江南	jiangnan	linear
0015	委托	weituo	linear
0016	诉讼	susong	linear
0017	代理人	dailiren	linear
0018	莫蕊丽	moruili	linear
0019	广西	guangxi	linear
0020	聚同	jutong	linear
0021	律师	lvshi	linear
0022	事务所律师	shiwusuolvshi	linear
0023	被告	beigao	linear
0024	某生	mousheng	linear
0025	汉族	hanzu	linear
0026	广西	guangxi	linear
0027	博白县	bobaixian	linear
0028	原告	yuangao	linear
0029	南宁市	nanningshi	linear
0030	霍某	huomou	linear
0031	公司	gongsi	linear
0032	被告	beigao	linear
0033	某生	mousheng	linear
0034	租赁	zulin	linear
0035	合同纠纷	hetongjiufen	linear
0036	一案	yian	linear
0037	本院	benyuan	linear
0038	立案	lian	linear
0039	受理	shouli	linear
0040	依法	yifa	linear
0041	适用	shiyong	linear
0042	普通	putong	linear
0043	程序	chengxu	linear
0044	独任	duren	linear
0045	审理	shenli	linear
0046	公开	gongkai	linear
0047	开庭	kaiting	linear
0048	进行	jinxing	linear
0049	审理	shenli	linear
0050	原告	yuangao	linear
0051	委托	weituo	linear
0052	诉讼	susong	linear
0053	代理人	dailiren	linear
0054	莫蕊丽	moruili	linear
0055	到庭	daoting	linear
0056	参加	canjia	linear
0057	诉讼	susong	linear
0058	被告	beigao	linear
0059	陈某	chenmou	linear
0060	生经	shengjing	linear
0061	本院	benyuan	linear
0062	公告送达	gonggaosongda	linear
0063	开庭	kaiting	linear
0064	传票	chuanpiao	linear
0065	正当理由	zhengdangliyou	linear
0066	到庭	daoting	linear
0067	本院	benyuan	linear
0068	依法	yifa	linear
0069	缺席	quexi	linear
0070	审理	shenli	linear
0071	本案	benan	linear
0072	现已	xianyi	linear
0073	审理	shenli	linear
0074	终结	zhongjie	linear
0075	原告	yuangao	linear
0076	南宁市	nanningshi	linear
0077	霍某	huomou	linear
0078	公司	gongsi	linear
0079	本院	benyuan	linear
0080	提出	tichu	linear
0081	诉讼请求	susongqingqiu	linear
0082	判令	panling	linear
0083	解除	jiechu	linear
0084	被告	beigao	linear
0085	达成	dacheng	linear
0086	锂电池	lidianchi	linear
0087	租赁	zulin	linear
0088	协议	xieyi	linear
0089	判令	panling	linear
0090	被告	beigao	linear
0091	返还	fanhuan	linear
0092	原告	yuangao	linear
0093	价值	jiazhi	linear
0094	海狸	haili	linear
0095	型号	xinghao	linear
0096	锂电池	lidianchi	linear
0097	一组	yizu	linear
0098	无法	wufa	linear
0099	返还	fanhuan	linear
0100	照价赔偿	zhaojiapeichang	linear
0101	判令	panling	linear
0102	被告	beigao	linear
0103	原告	yuangao	linear
0104	支付	zhifu	linear
0105	锂电池	lidianchi	linear
0106	占有	zhanyou	linear
0107	期间	qijian	linear
0108	租金	zujin	linear
0109	租金	zujin	linear
0110	每月	meiyue	linear
0111	计算	jisuan	linear
0112	暂计	zanji	linear
0113	实际	shiji	linear
0114	计算	jisuan	linear
0115	被告	beigao	linear
0116	返还	fanhuan	linear
0117	电池	dianchi	linear
0118	之日止	zhirizhi	linear
0119	本案	benan	linear
0120	诉讼费	susongfei	linear
0121	被告	beigao	linear
0122	承担	chengdan	linear
0123	事实	shishi	linear
0124	理由	liyou	linear
0125	被告	beigao	linear
0126	原告	yuangao	linear
0127	公司	gongsi	linear
0128	租赁	zulin	linear
0129	一组	yizu	linear
0130	海狸	haili	linear
0131	型号	xinghao	linear
0132	锂电池	lidianchi	linear
0133	该组	gaizu	linear
0134	锂电池	lidianchi	linear
0135	市场	shichang	linear
0136	价值	jiazhi	linear
0137	约定	yueding	linear
0138	被告	beigao	linear
0139	原告	yuangao	linear
0140	每月	meiyue	linear
0141	支付	zhifu	linear
0142	租金	zujin	linear
0143	每月	meiyue	linear
0144	之前	zhiqian	linear
0145	支付	zhifu	linear
0146	下个	xiage	linear
0147	月租金	yuezujin	linear
0148	日至	rizhi	linear
0149	被告	beigao	linear
0150	未付	weifu	linear
0151	任何	renhe	linear
0152	租金	zujin	linear
0153	累计	leiji	linear
0154	租金	zujin	linear
0155	期共	qigong	linear
0156	锂电池	lidianchi	linear
0157	尚未	shangwei	linear
0158	归还	guihuan	linear
0159	原告	yuangao	linear
0160	多次	duoci	linear
0161	催促	cuicu	linear
0162	被告	beigao	linear
0163	履行	lvxing	linear
0164	支付	zhifu	linear
0165	租金	zujin	linear
0166	义务	yiwu	linear
0167	被告	beigao	linear
0168	行为	xingwei	linear
0169	构成	goucheng	linear
0170	严重	yanzhong	linear
0171	违约	weiyue	linear
0172	原告	yuangao	linear
0173	造成	zaocheng	linear
0174	经济损失	jingjisunshi	linear
0175	被告	beigao	linear
0176	陈某	chenmou	linear
0177	生未	shengwei	linear
0178	到庭	daoting	linear
0179	答辩	dabian	linear
0180	提交	tijiao	linear
0181	书面	shumian	linear
0182	答辩	dabian	linear
0183	意见	yijian	linear
0184	证据	zhengju	linear
0185	根据	genju	linear
0186	中华人民共和国	zhonghuarenmingongheguo	linear
0187	民事	minshi	linear
0188	诉讼法	susongfa	linear
0189	有关	youguan	linear
0190	规定	guiding	linear
0191	当事人	dangshiren	linear
0192	答辩	dabian	linear
0193	对方	duifang	linear
0194	当事人	dangshiren	linear
0195	提交	tijiao	linear
0196	证据	zhengju	linear
0197	进行	jinxing	linear
0198	质证	zhizheng	linear
0199	权利	quanli	linear
0200	被告	beigao	linear
0201	陈某	chenmou	linear
0202	生经	shengjing	linear
0203	本院	benyuan	linear
0204	合法	hefa	linear
0205	传唤	chuanhuan	linear
0206	正当理由	zhengdangliyou	linear
0207	到庭	daoting	linear
0208	参加	canjia	linear
0209	诉讼	susong	linear
0210	视为	shiwei	linear
0211	放弃	fangqi	linear
0212	答辩	dabian	linear
0213	质证	zhizheng	linear
0214	权利	quanli	linear
0215	原告	yuangao	linear
0216	提交	tijiao	linear
0217	证据	zhengju	linear
0218	原件	yuanjian	linear
0219	本院	benyuan	linear
0220	原告	yuangao	linear
0221	提交	tijiao	linear
0222	证据	zhengju	linear
0223	真实性	zhenshixing	linear
0224	合法性	hefaxing	linear
0225	关联性	guanlianxing	linear
