jigao	极高	18000
jiqi	极其	22000
jida	极大	16000
feichang	非常	75000
tebie	特别	72000
xiangdang	相当	38000
shifen	十分	35000
gengjia	更加	32000
wanquan	完全	48000
juedui	绝对	30000
queshi	确实	42000
zhenshi	真是	40000
haoxiang	好像	45000
jihu	几乎	38000
shaowei	稍微	18000
youdian	有点	52000
ting	挺	28000
manghao	蛮好	8000
chaoji	超级	35000
guofen	过分	12000
yiwei	尤为	7000
gewai	格外	9000
xiangdui	相对	22000
puxian	普遍	14000
lueWei	略微	6500
juede	觉得	78000
renwei	认为	55000
zhidao	知道	75000
mingbai	明白	48000
lijie	理解	52000
sikao	思考	28000
kaolu	考虑	45000
huiyi	回忆	18000
jide	记得	58000
wangji	忘记	35000
xiangqi	想起	30000
yiwei	以为	42000
huaiyi	怀疑	25000
queding	确定	38000
panduan	判断	28000
fenxi	分析	35000
xiangxin	相信	48000
zhuyi	注意	42000
faxian	发现	55000
guanzhu	关注	32000
yishi	意识	22000
liaojie	了解	48000
zhangwo	掌握	18000
xuexi	学习	62000
yanjiu	研究	35000
guancha	观察	25000
tuili	推理	8500
kaixin	开心	58000
nanguo	难过	42000
danxin	担心	48000
jinzhang	紧张	38000
gaoxing	高兴	52000
shiwang	失望	28000
shengqi	生气	38000
xinfu	幸福	32000
manyi	满意	35000
houhui	后悔	22000
hai pa	害怕	35000
jiandan	焦虑	18000
xingfen	兴奋	28000
jimo	寂寞	15000
gudu	孤独	22000
ganji	感激	18000
ganxie	感谢	32000
xihuan	喜欢	68000
taoyan	讨厌	28000
aimu	羡慕	18000
zihao	自豪	14000
canqui	惭愧	7500
wuliao	无聊	28000
qidai	期待	35000
zhenjing	震惊	16000
pingjing	平静	14000
erqie	而且	62000
danshi	但是	78000
yinci	因此	38000
suoyi	所以	68000
yushi	于是	42000
raner	然而	22000
jinguan	尽管	18000
yinwei	因为	72000
youqi	尤其	22000
buguo	不过	48000
linwai	另外	28000
qici	其次	14000
shouxian	首先	22000
zonger	总而	8000
zhihou	之后	45000
zhiqian	之前	48000
tongshi	同时	38000
jiezhe	接着	22000
suihou	随后	18000
