# K404 — 3DES加密
# persons: 

0001	密码学	mimaxue	linear
0002	中	zhong	linear
0003	三重	sanchong	linear
0004	数据	shuju	linear
0005	加密算法	jiamisuanfa	linear
0006	英语	yingyu	linear
0007	缩写	suoxie	linear
0008	为	wei	linear
0009	或称	huocheng	linear
0010	是	shi	linear
0011	一种	yizhong	linear
0012	对称	duichen	linear
0013	密钥	miyao	linear
0014	加密	jiami	linear
0015	块	kuai	linear
0016	密码	mima	linear
0017	相当于	xiangdangyu	linear
0018	是	shi	linear
0019	对	dui	linear
0020	每个	meige	linear
0021	数据	shuju	linear
0022	块	kuai	linear
0023	应用	yingyong	linear
0024	三次	sanci	linear
0025	资料	ziliao	linear
0026	加密	jiami	linear
0027	标准	biaozhun	linear
0028	算法	suanfa	linear
0029	由于	youyu	linear
0030	计算机	jisuanji	linear
0031	运算	yunsuan	linear
0032	能力	nengli	linear
0033	的	de	linear
0034	增强	zengqiang	linear
0035	原版	yuanban	linear
0036	由于	youyu	linear
0037	密钥	miyao	linear
0038	长度	changdu	linear
0039	过低	guodi	linear
0040	容易	rongyi	linear
0041	被	bei	linear
0042	暴力破解	baolipojie	linear
0043	即	ji	linear
0044	是	shi	linear
0045	设计	sheji	linear
0046	用来	yonglai	linear
0047	提供	tigong	linear
0048	一种	yizhong	linear
0049	相对	xiangdui	linear
0050	简单	jiandan	linear
0051	的	de	linear
0052	方法	fangfa	linear
0053	即	ji	linear
0054	通过	tongguo	linear
0055	增加	zengjia	linear
0056	的	de	linear
0057	密钥	miyao	linear
0058	长度	changdu	linear
0059	来	lai	linear
0060	避免	bimian	linear
0061	类似	leisi	linear
0062	的	de	linear
0063	攻击	gongji	linear
0064	而	er	linear
0065	不是	bushi	linear
0066	设计	sheji	linear
0067	一种	yizhong	linear
0068	全新	quanxin	linear
0069	的	de	linear
0070	块	kuai	linear
0071	密码	mima	linear
0072	算法	suanfa	linear
0073	标准	biaozhun	linear
0074	中	zhong	linear
0075	的	de	linear
0076	定义	dingyi	linear
0077	算法	suanfa	linear
0078	在	zai	linear
0079	以下	yixia	linear
0080	标准	biaozhun	linear
0081	中	zhong	linear
0082	被	bei	linear
0083	定义	dingyi	linear
0084	三重	sanchong	linear
0085	数据	shuju	linear
0086	加密算法	jiamisuanfa	linear
0087	的	de	linear
0088	工作	gongzuo	linear
0089	模式	moshi	linear
0090	已	yi	linear
0091	失效	shixiao	linear
0092	数据	shuju	linear
0093	加密	jiami	linear
0094	标准	biaozhun	linear
0095	页面	yemian	linear
0096	存档	cundang	linear
0097	备份	beifen	linear
0098	存于	cunyu	linear
0099	互联网	hulianwang	linear
0100	档案馆	danganguan	linear
0101	已	yi	linear
0102	失效	shixiao	linear
0103	使用	shiyong	linear
0104	三重	sanchong	linear
0105	数据	shuju	linear
0106	加密算法	jiamisuanfa	linear
0107	块	kuai	linear
0108	密码	mima	linear
0109	的	de	linear
0110	建议	jianyi	linear
0111	信息技术	xinxijishu	linear
0112	安全	anquan	linear
0113	技术	jishu	linear
0114	加密算法	jiamisuanfa	linear
0115	第三	disan	linear
0116	部分	bufen	linear
0117	块	kuai	linear
0118	密码	mima	linear
0119	页面	yemian	linear
0120	存档	cundang	linear
0121	备份	beifen	linear
0122	存于	cunyu	linear
0123	互联网	hulianwang	linear
0124	档案馆	danganguan	linear
0125	算法	suanfa	linear
0126	的	de	linear
0127	名称	mingcheng	linear
0128	最早	zuizao	linear
0129	的	de	linear
0130	定义	dingyi	linear
0131	了	le	linear
0132	该	gai	linear
0133	算法	suanfa	linear
0134	的	de	linear
0135	标准	biaozhun	linear
0136	年	nian	linear
0137	发布	fabu	linear
0138	将	jiang	linear
0139	其	qi	linear
0140	描述	miaoshu	linear
0141	为	wei	linear
0142	三重	sanchong	linear
0143	数据	shuju	linear
